Time (ms), Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7, Channel 8, Channel 9, Channel 10, Channel 11, Channel 12, Channel 13, Channel 14, Channel 15, Channel 16, Channel 17, Channel 18, Channel 19, Channel 20, Channel 21, Channel 22, Channel 23, Channel 24, Channel 25, Channel 26, Channel 27, Channel 28, Channel 29, Channel 30, Channel 31, Channel 32, Channel 33, Channel 34, Channel 35, Channel 36, Channel 37, Channel 38, Channel 39, Channel 40, Channel 41, Channel 42, Channel 43, Channel 44, Channel 45, Channel 46, Channel 47, Channel 48, Channel 49, Channel 50, Channel 51, Channel 52, Channel 53, Channel 54, Channel 55, Channel 56, Channel 57, Channel 58, Channel 59, Channel 60, Channel 61, Channel 62, Channel 63, Channel 64, Channel 65, Channel 66, Channel 67, Channel 68, Channel 69, Channel 70, Channel 71, Channel 72, Channel 73, Channel 74, Channel 75, Channel 76, Channel 77, Channel 78, Channel 79, Channel 80, Channel 81, Channel 82, Channel 83, Channel 84, Channel 85, Channel 86, Channel 87, Channel 88, Channel 89, Channel 90, Channel 91, Channel 92, Channel 93, Channel 94, Channel 95, Channel 96, Channel 97, Channel 98, Channel 99, Channel 100, Channel 101, Channel 102, Channel 103, Channel 104, Channel 105, Channel 106, Channel 107, Channel 108, Channel 109, Channel 110, Channel 111, Channel 112, Channel 113, Channel 114, Channel 115, Channel 116, Channel 117, Channel 118, Channel 119, Channel 120, Channel 121, Channel 122, Channel 123, Channel 124, Channel 125, Channel 126, Channel 127
144943, 10531, 12468, 11021, 9671, 10757, 11749, 11303, 11279, 11042, 11147, 10789, 10589, 11011, 10967, 10984, 10950, 10966, 9557, 11627, 10616, 13462, 12326, 11248, 11054, 11854, 11658, 11427, 11107, 11253, 11264, 11264, 11264, 11626, 13447, 13235, 11204, 9118, 11036, 12249, 10819, 10674, 10736, 10938, 10752, 10722, 10678, 10678, 10620, 10608, 10633, 9615, 11188, 10467, 10419, 10683, 10620, 10634, 11133, 11029, 10959, 10959, 10852, 10912, 10912, 11258, 12586, 12631, 8711, 10435, 11361, 11858, 11856, 11107, 11472, 11410, 11213, 11042, 11164, 11326, 11358, 11811, 10398, 10393, 10722, 12004, 10446, 9190, 10591, 10515, 10786, 10850, 10828, 10665, 10666, 10562, 10552, 10912, 10911, 12855, 10615, 11742, 12546, 11893, 11789, 10932, 10958, 10962, 10705, 10757, 10863, 10912, 10912, 10957, 10974, 9296, 12879, 12989, 11042, 9910, 10483, 11494, 11253, 11297, 11317, 11465, 11264, 11254, 11199
145956, 10630, 12007, 11214, 10475, 11069, 11613, 10789, 10778, 10649, 10706, 10509, 10400, 10631, 10606, 10420, 11555, 10605, 9982, 11114, 10564, 12121, 11498, 10910, 10802, 11241, 11133, 11006, 10831, 10912, 10912, 11759, 8619, 11153, 11856, 12149, 11616, 10474, 11525, 12187, 11405, 11324, 11359, 11470, 11368, 11352, 11985, 11985, 10971, 12882, 12795, 11659, 10726, 10331, 10305, 10451, 10416, 10424, 10697, 10641, 10601, 10601, 11363, 12293, 9907, 10059, 13198, 12263, 10119, 10463, 10970, 11243, 11242, 10831, 11031, 10998, 10889, 10796, 10862, 10953, 11404, 10840, 11341, 11172, 11352, 12052, 11201, 10513, 11284, 11238, 11386, 11422, 11410, 11320, 11321, 12931, 12080, 11464, 8874, 12217, 10415, 11030, 11470, 11114, 11057, 10591, 10601, 10602, 10463, 10491, 10549, 10571, 10538, 11167, 12077, 10436, 11803, 11862, 10796, 10176, 10490, 11042, 10912, 10937, 10946, 11027, 10912, 11082, 11000
146969, 8724, 10729, 10691, 11216, 11539, 11840, 11387, 11382, 11312, 11344, 11235, 11176, 11303, 11290, 11186, 11694, 12008, 12212, 11322, 10387, 11239, 10897, 10571, 10516, 10757, 10697, 10628, 10533, 10571, 10571, 11129, 10088, 11332, 10322, 10786, 11111, 10483, 11059, 11422, 10994, 10951, 10970, 11030, 10974, 10966, 11313, 10569, 10857, 15041, 13101, 12482, 11354, 11138, 11124, 11204, 11185, 11189, 11340, 11309, 11287, 11287, 11702, 12931, 10953, 10126, 10820, 9847, 10143, 10329, 10608, 10757, 10757, 10533, 10643, 10624, 10565, 10513, 10548, 10599, 10752, 12194, 12428, 10867, 10966, 11349, 10883, 10506, 10932, 10904, 10986, 11004, 10998, 10948, 10949, 10116, 10417, 11104, 9422, 11593, 11184, 11520, 11762, 11564, 11535, 11284, 11287, 11288, 11210, 11226, 11258, 10498, 12097, 13338, 13449, 10318, 11064, 11094, 10513, 10173, 10347, 10649, 10571, 10591, 10597, 10639, 11318, 11436, 10669
147983, 10229, 10626, 10602, 10890, 11067, 11232, 10986, 10982, 10942, 11892, 13700, 12766, 11845, 12608, 11730, 11264, 11398, 11532, 11680, 11169, 11635, 11447, 11264, 11238, 11371, 11340, 9347, 10167, 9340, 10300, 11404, 10852, 12140, 10953, 11205, 10685, 10343, 10657, 10853, 10621, 10599, 11509, 11543, 11630, 11484, 10881, 10498, 10656, 12942, 11246, 11585, 10967, 10849, 10841, 10884, 10874, 10877, 10959, 10072, 10908, 11838, 11241, 11917, 12181, 12319, 12083, 10874, 11034, 11137, 11290, 11371, 11371, 11247, 12182, 12170, 13047, 11066, 11085, 10345, 10449, 10602, 10749, 10550, 10605, 10817, 10561, 10353, 10591, 10571, 10617, 9754, 10683, 10657, 11475, 10226, 11135, 11485, 10566, 11097, 10873, 11057, 11191, 11082, 11066, 10932, 10932, 12829, 11794, 12572, 11027, 10609, 11485, 12147, 12208, 11130, 11537, 11556, 11237, 11051, 11146, 11312, 11264, 9331, 9359, 10341, 11504, 12165, 11700
148998, 10203, 10420, 11506, 10727, 10769, 10858, 10725, 11359, 10742, 11261, 12249, 11740, 11233, 11653, 11172, 10912, 10992, 11833, 10180, 9842, 11001, 11787, 11685, 11055, 11129, 11688, 10600, 11050, 10596, 11121, 11724, 11423, 12129, 11477, 12365, 12272, 10226, 10397, 11162, 11631, 10983, 11480, 11501, 10969, 10890, 10559, 10350, 10436, 11687, 11503, 10826, 9696, 11326, 11322, 11306, 10705, 10705, 10751, 10265, 10724, 11232, 10906, 11276, 11420, 11495, 11365, 10916, 10012, 11657, 11066, 11745, 11745, 11678, 12150, 12143, 12623, 11537, 11552, 11145, 11203, 12009, 12087, 12773, 10406, 11331, 11001, 10251, 10980, 10390, 10416, 9943, 10451, 10436, 10882, 10201, 10697, 10890, 9594, 9163, 11533, 10764, 10837, 10798, 10789, 11334, 10737, 11774, 11205, 11633, 10788, 10558, 11039, 11401, 12133, 11566, 10919, 11593, 11672, 10953, 11004, 11675, 11648, 10591, 10606, 11143, 11780, 12141, 11887
150010, 11069, 11186, 11145, 10743, 10338, 9483, 9486, 10822, 10483, 10767, 11309, 11028, 10752, 10982, 10720, 10571, 10620, 11081, 10176, 10607, 13282, 12218, 12163, 10803, 10844, 11149, 10555, 10800, 10552, 10840, 11171, 11005, 11391, 11034, 11521, 10176, 10557, 11119, 11481, 11846, 11492, 11767, 11778, 11487, 11444, 11264, 11148, 11195, 11878, 11780, 12005, 10363, 12173, 12552, 9999, 10463, 10463, 10489, 10223, 10474, 10751, 10571, 10776, 10853, 10896, 10824, 10575, 10828, 9755, 10583, 12050, 11177, 11145, 11402, 11398, 11659, 11067, 11075, 10852, 10884, 11323, 12391, 13344, 13382, 13457, 12629, 11226, 11492, 11171, 11185, 10925, 11204, 11195, 11439, 11067, 11340, 11444, 10036, 9799, 10795, 10335, 8866, 9527, 10509, 10806, 10481, 11048, 10736, 10970, 10509, 10384, 10647, 10846, 11245, 10934, 11195, 12636, 12066, 11619, 10775, 11143, 11128, 10549, 10557, 10851, 11201, 11397, 11258
151025, 11595, 12430, 13042, 10786, 11143, 10672, 10675, 11408, 11222, 11377, 11674, 12478, 11398, 9653, 10385, 10300, 10329, 9909, 9411, 10901, 11872, 11291, 11261, 10517, 10540, 10707, 10382, 10515, 10380, 11470, 11596, 11504, 10924, 10072, 11164, 10322, 10532, 10838, 11036, 11234, 11042, 11194, 11199, 11970, 12068, 10974, 10097, 10968, 11341, 11288, 12011, 11073, 12145, 12354, 10955, 11210, 11210, 11224, 11079, 11216, 11368, 12075, 11260, 11252, 11276, 11121, 10373, 9934, 9943, 10396, 11200, 10722, 10704, 10846, 10843, 11976, 11593, 11597, 10602, 10621, 10886, 11470, 11991, 12672, 12713, 12262, 10896, 11042, 10866, 10874, 10732, 9893, 9889, 10868, 11716, 11815, 11873, 12435, 10269, 10816, 10564, 10335, 10697, 11235, 11398, 11220, 12491, 12319, 11601, 12224, 10201, 9577, 9686, 10000, 9829, 10590, 11521, 11207, 10963, 10502, 10702, 10695, 10378, 10384, 9583, 12485, 11721, 11644
152038, 11098, 11555, 11891, 10658, 10851, 10593, 10596, 10996, 10893, 11910, 12276, 11915, 9655, 10768, 11167, 11121, 11137, 10908, 10633, 11450, 11981, 11663, 11647, 11239, 11252, 10321, 8514, 7951, 11036, 10286, 10950, 10901, 10583, 10117, 10713, 10253, 10370, 10537, 10644, 10752, 10649, 11632, 13445, 13072, 11188, 11355, 10279, 10756, 10960, 10932, 11325, 10812, 11400, 11513, 10748, 10887, 10887, 9904, 11548, 13027, 11947, 11513, 11070, 11642, 11655, 11568, 11160, 10920, 10925, 11174, 11614, 11352, 11342, 11420, 12227, 12771, 11630, 11442, 10985, 10417, 10563, 10881, 11167, 11540, 11563, 11315, 10570, 10649, 10550, 9595, 8921, 12597, 10821, 10702, 11166, 11220, 11252, 11559, 10375, 10673, 10535, 10410, 10606, 10902, 10992, 11915, 13642, 11969, 10538, 12153, 11067, 10724, 10786, 10956, 10862, 11283, 11789, 11617, 11484, 11232, 11341, 10315, 9211, 11411, 10657, 12073, 11021, 10977
153051, 10678, 10928, 11112, 10437, 10543, 11304, 12124, 11298, 11113, 12660, 11472, 11275, 10038, 10647, 10864, 10840, 10848, 10724, 10572, 11020, 11311, 11771, 11270, 10247, 10964, 11132, 10144, 9838, 11525, 11114, 11475, 11450, 11276, 11022, 11347, 11095, 11159, 11250, 12183, 11314, 10290, 10970, 11962, 11758, 10726, 10820, 10230, 10490, 10602, 10591, 10803, 10521, 10845, 10906, 9290, 10661, 11432, 10173, 11072, 11880, 11291, 11054, 10812, 11125, 11131, 11083, 10860, 10728, 10732, 10868, 11364, 11004, 11690, 11734, 12174, 12471, 11846, 11745, 11494, 11185, 11264, 11439, 11594, 11799, 11811, 12333, 11954, 11985, 10932, 9061, 9487, 11500, 10527, 10461, 10715, 10745, 10763, 10931, 10282, 10446, 10371, 10300, 10601, 11401, 11728, 11275, 12218, 11302, 10518, 11404, 10810, 10622, 10658, 10749, 10698, 10931, 11203, 10209, 9954, 11173, 10820, 11129, 10525, 11728, 11316, 12089, 11513, 11491
154063, 11328, 11465, 11564, 11196, 11254, 11670, 12914, 11608, 9743, 9976, 10288, 10775, 10099, 10431, 10549, 10538, 10541, 10474, 10390, 10635, 10795, 11046, 9979, 12131, 11436, 11442, 10302, 10138, 11059, 10836, 11032, 11020, 10924, 10785, 10963, 10825, 10860, 10912, 10602, 10413, 9586, 11487, 12030, 11920, 11354, 11406, 11084, 11225, 11288, 11284, 11397, 11241, 11419, 11452, 9723, 12331, 12496, 10086, 10664, 11107, 10784, 10655, 10521, 10693, 10696, 10669, 10547, 10476, 10479, 11371, 12388, 9564, 10356, 11175, 11416, 11578, 11234, 11177, 11042, 10874, 10912, 11013, 11097, 11209, 10398, 10684, 11322, 11525, 11648, 10361, 9977, 11777, 11244, 11209, 11347, 11365, 11375, 11468, 11111, 11201, 11160, 11915, 12736, 11220, 10934, 10178, 11291, 10788, 10361, 10846, 10520, 10418, 10437, 10487, 10459, 10590, 10736, 9398, 10078, 10773, 10850, 10763, 10513, 11172, 10945, 11369, 11054, 11042
155075, 10953, 11027, 11082, 10881, 9193, 10985, 13214, 11838, 10816, 10944, 11114, 11380, 11010, 11193, 11258, 11250, 11253, 11216, 11171, 11306, 13058, 10883, 11706, 11861, 11442, 10868, 10243, 10152, 10657, 10535, 10643, 10635, 10583, 10507, 10603, 10529, 10547, 10396, 11873, 11770, 10722, 11040, 11337, 11277, 10967, 10995, 10819, 10895, 10932, 10932, 10991, 11751, 12803, 11323, 7869, 10632, 11299, 11003, 11320, 11563, 11385, 11315, 11241, 11336, 11339, 11323, 11257, 12177, 11059, 12338, 12808, 12139, 10271, 10721, 10852, 10941, 10752, 10722, 10649, 10555, 10571, 10632, 10678, 10739, 10411, 9873, 9261, 8775, 11128, 10424, 10214, 11198, 10908, 10887, 10963, 10972, 10978, 11029, 10834, 10883, 11525, 11120, 12176, 10602, 11469, 11053, 11663, 11386, 11155, 11420, 11241, 11186, 11196, 11223, 12002, 12075, 12153, 10836, 10439, 12102, 10542, 10495, 10358, 10720, 10597, 10826, 10655, 10649
156088, 10599, 10639, 10669, 10559, 10454, 10564, 10989, 12129, 11592, 10703, 10755, 10302, 10779, 10879, 10912, 10912, 10912, 10890, 10866, 10940, 11899, 11731, 13795, 11171, 11872, 12724, 11767, 11041, 11316, 11249, 11309, 11306, 11276, 11234, 11289, 11245, 11257, 11967, 12032, 10953, 10642, 11537, 11365, 10121, 10606, 10622, 10525, 10569, 10591, 10591, 10620, 11036, 11612, 10801, 11467, 10353, 10714, 12152, 10948, 11081, 10985, 10944, 10906, 10957, 10959, 10950, 10912, 11418, 11653, 11606, 11813, 12470, 11388, 11310, 10788, 11471, 11368, 11352, 11312, 11262, 11264, 11303, 11328, 11361, 11181, 11681, 10437, 9400, 11952, 11644, 10828, 10733, 10571, 10564, 10603, 10610, 10614, 10641, 10534, 10561, 10938, 10716, 11292, 10457, 10990, 10106, 9842, 10986, 10857, 11003, 10906, 10875, 10881, 10894, 11320, 11360, 12427, 11706, 11438, 11487, 11910, 12521, 11831, 11350, 11284, 11409, 11315, 11312
157106, 10595, 10621, 10643, 10568, 10495, 10571, 10859, 11665, 10574, 11704, 11768, 10500, 10825, 10892, 10912, 10912, 10912, 10902, 10884, 10936, 11590, 11475, 12886, 11093, 11626, 12210, 10682, 11115, 11304, 11258, 11297, 11294, 11276, 11246, 11285, 11255, 11264, 11747, 11792, 11054, 11828, 14033, 11117, 10268, 10600, 10610, 10543, 10571, 10591, 10591, 10608, 10893, 11287, 10733, 11188, 11171, 11547, 11734, 10040, 11031, 10966, 10939, 10912, 10945, 10947, 10941, 10912, 11262, 11422, 11390, 11532, 11161, 10522, 12167, 9920, 11410, 11340, 11328, 11300, 11264, 11264, 11293, 11312, 11334, 11211, 11554, 10702, 10717, 11477, 11459, 9878, 9812, 10571, 10571, 10599, 10601, 10602, 10623, 10548, 10569, 10825, 10674, 11887, 10596, 10165, 12197, 11058, 10966, 10879, 10978, 10912, 10889, 10893, 10904, 11195, 11222, 11950, 11458, 11276, 11310, 12368, 10352, 11655, 11326, 11284, 11367, 11303, 11300
158119, 11284, 11295, 11309, 11264, 11228, 10241, 10404, 11804, 10274, 10896, 12461, 10552, 10701, 10567, 10571, 10571, 10571, 10571, 10562, 10591, 10946, 11873, 11687, 10707, 11900, 12219, 11945, 12183, 10238, 10170, 10937, 10936, 10924, 10909, 10932, 10912, 10912, 11211, 11235, 11764, 12188, 12493, 11128, 11298, 13527, 12034, 11254, 11264, 11284, 11284, 11290, 11445, 11661, 11294, 11544, 11475, 11683, 11783, 10012, 11903, 10520, 9870, 9853, 10597, 10597, 10594, 10571, 10767, 10853, 10839, 10945, 10744, 10395, 12195, 9495, 11151, 12474, 11675, 10938, 10912, 10912, 10935, 10942, 10956, 11910, 11108, 11570, 11581, 12841, 11112, 9631, 9387, 10569, 10569, 11285, 11287, 11288, 11297, 11257, 11264, 11409, 10301, 11925, 10291, 10056, 11166, 12072, 9963, 10009, 11382, 10571, 10565, 10568, 10571, 10732, 10747, 11144, 11866, 10807, 11727, 12306, 11149, 12477, 12297, 9509, 10974, 10939, 10938
159132, 10932, 11635, 11640, 11639, 12809, 9581, 9671, 11014, 11107, 11447, 12303, 11260, 11341, 11264, 11264, 11264, 11264, 11264, 11264, 11235, 10538, 13308, 12953, 11393, 11116, 11292, 11142, 11273, 10209, 10171, 10591, 10591, 10583, 10571, 11289, 10620, 10567, 10167, 10902, 11192, 11422, 11590, 10843, 10938, 12156, 11339, 10912, 10912, 10932, 10932, 11778, 12497, 11652, 11451, 12417, 11763, 11876, 11933, 10964, 11998, 11241, 10886, 10877, 11284, 11284, 12003, 11354, 11421, 11682, 10061, 9126, 10484, 10295, 11278, 9803, 10708, 11433, 10995, 10591, 10571, 10571, 10591, 9873, 9903, 11104, 12358, 11681, 11091, 11780, 10834, 10025, 9889, 10538, 10538, 10932, 10932, 10932, 10937, 11614, 10255, 12085, 10663, 11081, 11116, 10988, 11594, 12088, 10937, 10962, 11714, 11264, 11264, 11264, 11264, 11357, 9899, 12284, 13895, 12294, 11022, 11340, 10707, 11435, 11335, 9808, 10611, 10592, 10591
160144, 10591, 10971, 10974, 11002, 10850, 10376, 11298, 11437, 10831, 11018, 11486, 10912, 10960, 10912, 10912, 10912, 10912, 10912, 10912, 11669, 12833, 12854, 10913, 11718, 11564, 11663, 11583, 11653, 11070, 11050, 11284, 11284, 11276, 11264, 11662, 10450, 11293, 11286, 10456, 10729, 10853, 10946, 10539, 10591, 11256, 10808, 10571, 10571, 10591, 10591, 11049, 12187, 12545, 10969, 9942, 10200, 11253, 11284, 10754, 11319, 10906, 10709, 10705, 10932, 10932, 11320, 10967, 11003, 12114, 12504, 12761, 11222, 11119, 11656, 10850, 11345, 11742, 11502, 11284, 11264, 11264, 11284, 10887, 10904, 12053, 13033, 9441, 9715, 11051, 10534, 10091, 10015, 10371, 10371, 10591, 10591, 10591, 10591, 10961, 10217, 10452, 9718, 12433, 11494, 10767, 11097, 11369, 10739, 10752, 11164, 10912, 10912, 10912, 10912, 10969, 10170, 12274, 9921, 10070, 11513, 11688, 11344, 11742, 11686, 10852, 11291, 11284, 11284
161158, 12156, 11515, 10518, 10796, 10437, 10139, 11364, 10864, 10533, 10633, 10891, 10571, 10602, 10571, 10571, 10571, 10571, 11392, 12190, 13291, 12496, 11786, 10725, 11167, 11082, 11133, 11093, 11130, 10812, 10800, 10932, 10932, 10950, 10941, 10537, 9907, 10368, 12276, 11206, 11355, 11424, 11472, 11251, 11284, 11644, 11398, 11264, 11264, 11284, 12076, 10181, 12636, 12816, 10608, 10044, 10188, 10764, 10781, 10490, 10800, 10571, 10465, 10463, 10591, 10616, 9952, 10931, 10294, 11363, 12193, 12334, 10893, 10838, 11132, 10690, 10962, 11177, 11047, 10932, 10912, 11935, 11955, 10687, 11304, 12248, 12615, 10653, 10800, 11532, 11248, 11005, 10965, 11160, 11160, 11284, 11284, 11284, 12949, 11535, 10364, 9859, 10502, 11987, 10896, 10498, 10678, 10826, 10481, 10489, 10713, 10571, 10571, 10571, 10602, 11958, 11392, 12789, 10183, 10264, 11054, 11149, 10962, 11177, 11149, 10692, 10933, 10932, 10932
162171, 11181, 11700, 12755, 10757, 10561, 11032, 11702, 11429, 11247, 11304, 11444, 11264, 11288, 11264, 11264, 11264, 11264, 10912, 12602, 12513, 11442, 11055, 10475, 10716, 10669, 10697, 10676, 10696, 10521, 10515, 10591, 10591, 11342, 10708, 11194, 11029, 9812, 11472, 10885, 10967, 11005, 11031, 10912, 10932, 11126, 10992, 10912, 11935, 11135, 11339, 10944, 13014, 12496, 11290, 10979, 11060, 11375, 11384, 11225, 11396, 11264, 11211, 11210, 11284, 10364, 10723, 9221, 10488, 10226, 11277, 11355, 10568, 10537, 10697, 10455, 10602, 10722, 10650, 10591, 10571, 13029, 11090, 9674, 10940, 11454, 11656, 10582, 10662, 11065, 10910, 10776, 10755, 10860, 10860, 10932, 10932, 10984, 11918, 10472, 10522, 10880, 11232, 12045, 11447, 11229, 11328, 11409, 11220, 11224, 11347, 11264, 10241, 10348, 10483, 11545, 11473, 11601, 10178, 10222, 10655, 10707, 10602, 10722, 10707, 10457, 10591, 10591, 10591
163186, 12249, 11154, 11732, 10639, 10534, 10790, 11154, 11007, 9948, 11001, 11077, 10974, 11838, 11002, 11002, 10258, 11564, 10755, 11682, 12332, 11745, 11534, 11216, 11348, 11323, 12150, 12136, 11219, 11121, 11067, 11063, 10484, 10912, 11164, 11431, 10641, 9976, 10881, 10562, 10606, 9755, 10702, 10632, 10650, 10753, 10705, 10659, 11114, 10767, 10877, 10743, 11873, 11591, 10932, 10761, 10807, 10978, 10923, 11802, 11896, 11820, 11745, 11745, 11061, 10556, 12029, 10529, 11223, 11081, 11655, 11700, 11264, 12210, 10347, 10241, 10323, 10386, 9579, 10342, 10326, 11692, 10017, 9898, 10593, 10873, 10983, 10395, 10440, 11561, 10513, 11434, 11368, 11426, 11426, 11419, 12033, 10743, 11276, 10482, 10512, 10706, 10899, 11345, 12041, 11950, 11014, 10239, 10979, 10982, 11051, 11002, 11048, 11105, 11199, 11802, 11762, 11833, 11053, 11078, 11315, 11344, 11138, 11231, 10378, 10241, 11111, 11111, 11140
164200, 11309, 10709, 11025, 10426, 10371, 10510, 10709, 11276, 11596, 13071, 10864, 11553, 11232, 10774, 10774, 10366, 11082, 10637, 11147, 11502, 11177, 11066, 10890, 10381, 10123, 12082, 11256, 10778, 11568, 11537, 11537, 11222, 11454, 11594, 11741, 11309, 10944, 11439, 12225, 10297, 9214, 12053, 10471, 9712, 10489, 10463, 10438, 10687, 10498, 10556, 10484, 11102, 10947, 10591, 9533, 10236, 10725, 10682, 11908, 11262, 11222, 11177, 11177, 10807, 10531, 11336, 10516, 10894, 10818, 12154, 13107, 13449, 12032, 9652, 11209, 11133, 11168, 10726, 11144, 11135, 11883, 10966, 10900, 11284, 11436, 10469, 10151, 9900, 10261, 9688, 10116, 10801, 10855, 10855, 10853, 11191, 10484, 10776, 10343, 10357, 10463, 11563, 11804, 12741, 12693, 11552, 11150, 10761, 10762, 10800, 10774, 10798, 10830, 10882, 11212, 11191, 11229, 9810, 10849, 10097, 11042, 10829, 10760, 10394, 11089, 11564, 11564, 11581
165212, 11674, 11346, 11515, 11190, 11160, 9515, 10345, 10911, 11605, 11643, 10549, 10927, 10751, 10502, 10502, 10277, 10669, 10426, 10706, 10901, 10722, 11652, 13093, 11369, 9475, 10545, 10912, 10652, 11083, 11067, 11067, 10893, 11022, 11097, 11177, 10941, 10743, 11013, 10727, 11174, 11317, 12899, 11214, 10799, 11224, 11210, 11197, 11334, 11229, 11263, 11222, 11561, 11473, 11875, 9508, 11811, 11379, 10587, 11119, 10767, 10747, 10722, 10722, 10518, 10369, 10806, 10360, 10568, 10524, 11255, 11802, 10735, 11309, 10036, 10887, 10846, 10864, 10623, 10852, 10848, 11256, 10755, 10719, 10932, 12034, 11504, 12567, 9872, 10332, 10017, 11021, 11396, 11424, 11424, 11424, 11609, 11222, 11381, 11144, 11153, 11210, 11509, 10943, 12289, 13165, 10927, 10707, 10493, 10494, 10515, 10502, 10514, 10533, 10560, 10741, 10729, 10750, 10965, 13112, 10886, 9232, 10681, 10641, 10441, 10822, 11082, 11082, 11091
166223, 11142, 10962, 11054, 10877, 10860, 12064, 10156, 10669, 11836, 11856, 11258, 11465, 11368, 11232, 11232, 11108, 11323, 11190, 11344, 11450, 10004, 11904, 13564, 11924, 9761, 11305, 10571, 10434, 10669, 10662, 10662, 10568, 10637, 10678, 10722, 10594, 10484, 10780, 11121, 10765, 11662, 11811, 10889, 10662, 10895, 10887, 10881, 10956, 10898, 10912, 10893, 11080, 10865, 11084, 11404, 11843, 10374, 11280, 11567, 11377, 11366, 11352, 11352, 11240, 11158, 11398, 11155, 11264, 11243, 12365, 11923, 12195, 11724, 11027, 10564, 10541, 10549, 10419, 10543, 10541, 10765, 10490, 10471, 10591, 11191, 10179, 10814, 9449, 10378, 10236, 10784, 10990, 11005, 11005, 11005, 11107, 10893, 10981, 10852, 10856, 11656, 11820, 9703, 12354, 13679, 11465, 11344, 11227, 11227, 11238, 11232, 11238, 11247, 11264, 11362, 11355, 10599, 11510, 12879, 9876, 10587, 11379, 10428, 10319, 10527, 10669, 10669, 10675
167238, 10701, 10722, 9020, 10640, 12055, 13329, 10311, 10592, 11231, 11242, 10912, 11027, 10974, 10899, 10899, 10831, 10950, 12653, 11950, 12101, 10363, 11400, 11694, 11432, 10826, 11671, 11264, 11194, 11323, 11319, 11319, 11264, 12266, 10335, 9514, 8676, 10937, 11781, 11389, 10496, 10985, 11067, 10565, 10440, 10569, 10564, 10559, 10600, 10571, 12293, 13229, 11498, 10726, 10203, 10379, 11232, 10431, 10928, 11082, 10980, 10973, 10966, 10966, 11928, 11882, 12044, 10100, 11002, 11019, 12865, 12010, 12157, 11901, 11517, 11264, 11253, 11258, 11186, 11254, 11253, 10353, 11868, 12694, 12762, 11389, 8924, 9926, 9776, 10284, 10207, 10507, 10620, 10628, 10628, 10628, 10683, 11559, 10733, 10602, 10632, 11813, 11817, 10064, 11513, 12239, 11027, 10962, 10896, 10896, 10904, 10899, 10904, 11933, 10944, 12728, 12523, 10689, 10570, 11319, 10310, 11280, 11712, 11191, 11131, 11244, 11323, 11323, 11325
168253, 10461, 10473, 9541, 10427, 11202, 11900, 10247, 10402, 10751, 10757, 10571, 11630, 13167, 11443, 10895, 10067, 10745, 11677, 11292, 11376, 10426, 10992, 11153, 11009, 10679, 12163, 11935, 10912, 11912, 12103, 10682, 11648, 12195, 11142, 10692, 10232, 11470, 11932, 11718, 11228, 11494, 11537, 10241, 10174, 12021, 11383, 10555, 9809, 10390, 11333, 11843, 10897, 10475, 10190, 10285, 10751, 10315, 11578, 11660, 10645, 11426, 11422, 10731, 11281, 11255, 11344, 10280, 10774, 10783, 11791, 11324, 11405, 11264, 11055, 10912, 10944, 11038, 12727, 12767, 11065, 11149, 11980, 12431, 12466, 11718, 10368, 10916, 10835, 11113, 12030, 12195, 11232, 9623, 10222, 11698, 10451, 10931, 10480, 10408, 10423, 11069, 11069, 10112, 10906, 11304, 10639, 10602, 11561, 9944, 10790, 12187, 10722, 11284, 10743, 11719, 11607, 10602, 10538, 10947, 10395, 10928, 12185, 11840, 11807, 11051, 10782, 12358, 11683
169265, 11209, 11215, 10706, 11191, 11614, 11996, 11091, 11177, 11368, 10793, 10735, 9956, 10796, 10816, 8902, 9240, 9611, 10995, 10785, 10828, 10310, 10620, 10709, 10629, 10449, 11877, 11156, 10549, 12336, 14003, 12266, 12000, 11426, 10850, 10603, 10354, 11030, 11284, 11167, 10897, 11042, 11150, 11365, 10972, 10336, 9939, 11262, 10853, 11171, 11685, 11964, 11447, 11216, 11061, 11113, 11368, 11129, 12417, 11184, 11285, 12037, 10911, 9606, 10779, 10764, 10812, 10230, 10502, 10507, 11058, 10802, 10847, 10172, 10736, 10001, 11411, 10740, 11665, 10020, 10808, 10854, 11310, 11555, 11575, 11167, 10427, 10726, 10683, 10835, 11914, 10644, 10773, 9926, 11898, 12705, 11204, 11468, 11219, 11180, 11189, 11539, 11539, 11019, 11452, 11670, 11962, 11309, 12571, 9995, 10458, 11170, 9600, 10781, 10484, 11020, 10958, 10408, 10371, 10597, 10295, 10587, 11273, 11104, 12031, 12683, 12321, 12389, 11148
